qid,question,answer_id,video_id,a0,a1,a2,a3,start,end
5195,How does the man in the suit change his emotions throughout the conversation?,2,tOcnYAE2i4Q,The man in the suit is angry throughout the conversation.,he didn't change his emotions at all,"In the beginning he was very stressed out and nervous, and by the end he was more calm.",The man in the suit is indifferent throughout the conversation.,0,60
5196,How does the man in white feel about the man in the suit telling him that his work is his family?,0,tOcnYAE2i4Q,He feels sorry for the man in the suit and has sympathy for him.,The man in white is surprised by the man in the suit's diagnosis.,The man in white is angry that the man in the suit did not tell him sooner.,He feels angry that the man in the suit betrayed his family.,0,60
5197,"What does the man in the suit hope the man in white will say when he asks, ""it's better?""",0,tOcnYAE2i4Q,He is looking for the man to reassure him and tell him that it will be better.,He is hoping the man in white will say that everything is perfect and there is no need to change anything.,He hopes the man in white will give him a high five.,The man in the suit hopes the man in white will start singing a song.,0,60
5198,What does the man wearing white feel when he told the other man about his disease?,3,tOcnYAE2i4Q,He is frustrated and annoyed at the other man for not showing any interest in his disease and interrupting him.,The man wearing white is disappointed in the man in the suit for not taking the diagnosis seriously.,The man wearing white is annoyed with the man in the suit for asking questions.,He is sympathetic toward the man wearing a suit while remaining professional.,0,60
5199,Why does the man wearing a suit put his face in his hand in the beginning?,2,tOcnYAE2i4Q,He is impatient with the other man for not getting to the point immediately.,He is checking his phone for messages.,He is very concerned about the dire results of his brain scan.,He feels defensive about his diagnosis.,0,60
5200,Why did the woman wearing the sherpa mention that even moms can wear them,1,tQW5JYgxCbk,The woman is promoting her dental practice.,She wanted to emphasize its versatility,She wanted to emphasize that it could fit pregnant women,The woman is excited about the new trend of wearing sherpa.,0,60
5201,Why is the driver petting the woman beside him,2,tQW5JYgxCbk,petting her to make her stop talking,He wants to be able to talk to her.,He is curious about how soft her jacket feels,The driver is trying to distract the woman from her anxiety.,0,60
5202,Does the man sitting at the desk believe the man with the white hair?,3,tXG-qPZJj-8,He believes the man with white hair understands the point he is making.,"Yes, he thinks it's a very good answer",He thinks it is an excellent response.,"Yes, he thinks it is a good response.",0,57
5203,How does the man sitting at the desk feel about the people standing at the podiums?,1,tXG-qPZJj-8,He is angry at the men at the podium because they are more income than him.,He thinks they are funny.,He is annoyed by the people standing at podiums.,He finds the people standing at podiums ridiculous.,0,57
5204,Is the man in the pink tie scared?,1,tXG-qPZJj-8,The man in the pink tie is making a point.,"No, he has done the right things.","Is the man in the pink tie a sailor? Yes, he is an experienced sailor who has sailed around the world multiple times.",The man in the pink tie is angry.,0,57
5205,Is the man with the blue tie sincere when he laughs?,3,tXG-qPZJj-8,They are laughing insincerely.,He's just trying to impress his boss.,"Yes, he is just trying to impress his audience.","Yes, he is sincere.",0,57
5206,Why does the man in the middle laugh?,1,tXG-qPZJj-8,"No, he is making a joke about the tax returns.",He laughs because he enjoyed the man on the right's response.,He laughs to mock the man on the right for making less money than himself.,"No, because he is making a political joke.",0,57
5207,Does the woman care about the question asked to her?,0,tbwPN9fZb2Q,"No, she just says some words to seem as though she is doing her job.",The man in the suit is a foreign spy.,"Yes, she answers the question genuinely.",The man in the suit is a close friend of President Trump.,0,56
5208,How does the man in the red tie in the video clip feel?,1,tbwPN9fZb2Q,The man in the red tie is annoyed.,There is not man in a red tie. The man in the brown tie does not seem to like the answer and the man in the blue tie does not seem to like the woman's answers.,The man in the red tie is excited.,He is excited to be asking a question,0,56
5209,How does the man in the suit feel about the woman's statements?,1,tbwPN9fZb2Q,He thinks she is telling a joke.,He does not think highly of the woman's statement.,The man is indifferent to the woman's speech.,The man is confused by the woman's statements.,0,56
5210,How does the man showing the video clip feel about the woman talking in the video clip?,1,tbwPN9fZb2Q,The man showing the video clip is impressed by the woman's confidence.,He does not respect her and thinks she is dishonest,The man showing the video clip thinks the woman is too emotional.,He thinks she is misguided,0,56
5211,How does the woman in the video clip behave?,2,tbwPN9fZb2Q,The woman in the video clip is angry and frustrated.,The woman in the video clip is confused and disoriented.,She is trying to do her job.,She is excited,0,56
5212,How does the woman react to the man in the orange tie's question?,2,tbwPN9fZb2Q,She is defensive.,She is willing to answer,She seems annoyed,She seems confused.,0,56
5213,Is the man in the gold tie satisfied with the woman's answers?,1,tbwPN9fZb2Q,He is confused by the woman's answers.,His reaction seem to imply that he is not satisfied with the given answer.,He is very satisfied with the woman's answers.,"Is the woman satisfied with the man's answers, because she answered the question.",0,56
5214,What does the man in the suit think about the woman's claims?,2,tbwPN9fZb2Q,The man in the suit agrees with the woman's claims.,He thinks she is telling the truth,He thinks she is lying,The man in the suit agrees with the news reporter's claims.,0,56
5215,Does everyone seem to be having a good time?,1,teg6qTE9Hjs,Everyone seems to be having a good time.,Yes,They are arguing about their favorite flower crowns.,Only some of them are having a good time.,0,57
5216,What do the men feel about the fanfiction?,0,teg6qTE9Hjs,They didn't know about it.,The men are pleased with the fanfiction.,They love it.,They find the fanfiction amusing.,0,57
5217,"Why does the boy in the red cap say want to emphasize that they go on Tumblr, even though they don't have an account?",3,teg6qTE9Hjs,The boy in the red cap wants to show off his new flower crown.,The boy in the red cap wants people to know they have a Tumblr account.,Because he says he is interested in creating an account.,Because he wants people to be aware of their Tumblr presence.,0,57
5218,Why does the boy in the red sweatshirt have to choose a favorite tattoo amongst the other boys?,3,teg6qTE9Hjs,The boy in the red sweatshirt chooses a favorite tattoo because it matches his flower crown.,Because he claims he is a tattoo aficionado.,The boy in the red sweatshirt likes choosing a favorite tattoo because it makes him feel rebellious.,Because the interviewer asks him to.,0,57
5219,Why does the interviewer laugh at the end?,0,teg6qTE9Hjs,Because the man in black makes a sassy comment.,The interviewer laughs because one of the men accidentally spills his drink.,Because he accidentally spilled water on the floor.,The interviewer laughs because one of the men tells a funny joke.,0,57
5220,How does the woman react when the man asks her if she's had enough to drink?,2,thyfYONK0Hs,She gets up and leaves the room.,"She rolls her eyes and says ""whatever"".","She hesitates and then responds sarcastically, clearly indicating that she is annoyed.","She responds immediately, enthusiastically stating that she is totally sober and wants another round.",0,60
5221,What is the relationship like between the two people talking?,2,thyfYONK0Hs,The two individuals have a romantic connection.,"The relationship is friendly, they have romantic feelings for eachother.","The relationship is romantic, they love eachother and have a family.","Yes, they seem to be in a casual relationship with each other.",0,60
5222,Why does the man lay the woman down on the bed?,1,thyfYONK0Hs,He is trying to convince her to go on tour with him.,He is playing around with her to lighten the mood.,He thinks the bed is a trampoline and wants to bounce around.,He is trying to encourage the woman to take performing seriously.,0,60
5223,Why does the man spread his arms and say look?,2,thyfYONK0Hs,He is challenging her to be more understanding.,He is trying to show off his dance moves.,He is emphasizing the place they are in together.,He is showing off his new watch.,0,60
5224,Why does the woman move her head from side to side when listing the things the man is busy with?,1,thyfYONK0Hs,"She is thrilled that he came to visit her, and is expressing her love for the","She is irritated that she never gets to see him, and is expressing her dislike for his job.",She has a headache.,She is trying to remember her lines for an upcoming movie.,0,60
5225,Do all four people have a fun time?,0,tth90qiKXgY,"Yes, all four people are enjoying reacting to the comments.","No, all four people are not enjoying themselves.",Do all four people have a fun time together?,"Yes, all four people are enjoying a game on their phones.",0,59
5226,What are the attitudes of the four people?,0,tth90qiKXgY,The four people are not accepting of the mean comments.,The four people are accepting of the mean comments.,They are negative but brush off the mean comments.,The four people are discussing their favorite TV shows.,0,59
5227,Why do people laugh?,1,tth90qiKXgY,The people are laughing so hard in the video because they are comfortable with the situation that is happening,The people are laughing because they are having a good time together.,They act all overdramatic because they find the situation funny.,They are laughing because they just won the lottery.,0,59
5228,Why does the woman on the right laugh after the man in the red shirt reads a comment?,0,tth90qiKXgY,The woman on the right laughed after the man in red reads a comment because she is having fun with the situation.,She is amused by the comment that the man in red reads.,Because the man in the red shirt said a joke.,She is laughing at a joke her friend told her earlier.,0,59
5229,Why is the girl not affected by the insulting comment?,2,tth90qiKXgY,"She actually takes it very personally, even though it is from a stranger.",The girl is not affected by the insulting comment because she is the man's daughter.,The girl is not affected by the insulting comment because she thinks a grown woman shouldn't say those things to a child.,The girl is not affected by the insulting comment because she is deaf.,0,59
5230,How can you tell that the woman in overalls and the woman with the necklaces on are hiding something from the other people?,0,tz56LhvDFho,Because they separate themselves from the rest of the group and huddle closely,The women are discussing their favorite hair products.,Because they are staying close with the group to eavesdrop on them,The women are intently listening to each other.,0,60
5231,Is the man friendly toward the women?,1,tz56LhvDFho,The man is neutral towards the women and doesn't show any interest in their conversations.,"Yes, he pays attention to their wishes and is not too pushy about wanting them to answer his questions",The man is monotonous towards the women and doesn't show any enthusiasm in their conversations.,"No, he is very short with them and hesitant to agree to all of their ideas",0,60
5232,Why do the woman in overalls and the woman in the necklaces look at eachother when the man asks if they will answer their questions?,3,tz56LhvDFho,They don't know what to say so they are stalling,They don't talk while another person talks because they don't want to be rude.,They are trying to remember if they left the stove on.,They want to make sure they have the same answer to the mans question,0,60
5233,Why does the woman in overalls put her mouth to the ear of the woman in the necklaces?,3,tz56LhvDFho,The woman is telling a secret to the other woman.,She is giving her a kiss on the ear to show her affection,The woman is trying to sell the other woman a product.,She is whispering something into her ear about the man,0,60
5234,Why does the woman in the overalls look the gray haired man up and down?,3,tz56LhvDFho,She realizes she has never seen him before.,The woman is admiring the gray haired man's outfit.,The woman is recognizing the gray haired man.,She recognizes him from somewhere.,0,60
5235,Does the boy figure out what to do to solve the game?,3,uANIooMR9a0,The players are discussing their favorite horror movies.,He is still at a roadblock.,The young man is too scared to play the game.,He comes up with a solution.,0,59
5236,Does the boy know what he is supposed to do?,0,uANIooMR9a0,No the boy is confused and asks questions.,The boy is aware of what is happening.,The boy is too scared to play the game.,The boy knows what he is supposed to do.,0,59
5237,How did the man find the game?,2,uANIooMR9a0,He stumbled upon the game while browsing the internet.,The players are all professional gamers.,He was introduced to the game by the cameraman.,He found the game to be interesting.,0,59
5238,How does the boy feel about the game?,2,uANIooMR9a0,He is excited.,The young woman is scared of the game.,He is confused and curious.,The boy is excited about the game.,0,59
5239,How does the boy in red respond to the games?,0,uANIooMR9a0,He is interested and puzzled as to what the game wants him to do,so afraid that he cannot go on playing the game,The boy in red is distracted by his phone.,The boy in red is not paying attention because he is playing a game.,0,59
5240,How does the girl in gray respond to the game?,1,uANIooMR9a0,interested and tries to be more invested in the game,She is afraid and immediately tries to shut it off,The young man in red is the most interested in the game and tries to analyze it.,The girl in gray finds it thrilling and tries to keep playing.,0,59
5241,How does the girl react to the game?,1,uANIooMR9a0,They are screaming because they are scared of the game's characters.,The girl is not eager to play the game and does not want to play.,The girl is excited to play the game and can't wait to start.,is eager to play the game.,0,59
5242,How does the girl respond to the jump scare?,1,uANIooMR9a0,She asked if they could turn off the game.,"She screams meaning she is scared, despite not having sound on",She laughs as it is funny how bad they are trying to scare her,She closed her eyes and covered her ears.,0,59
5243,Is the girl afraid of the game?,1,uANIooMR9a0,The girl is bored with the game.,"Yes, she frantically removes her headphones in fright.","No, she knows it isn't real.",The players are discussing their favorite horror movies.,0,59
5244,Was the man or the lady more afraid of the game?,0,uANIooMR9a0,The lady is more frightened by the game because she screams and covers her eyes.,The man and woman have a friendly interaction.,The players were discussing their favorite horror movies.,The lady was more afraid than the man.,0,59
5245,"Why did the boy keep saying ""wait""?",0,uANIooMR9a0,He was confused and was trying to figure the game out,He wasn't ready to start the game,The woman in the video is a famous actress.,The young man was distracted by his phone.,0,59
5246,Why did the boy suddenly widen his eyes?,2,uANIooMR9a0,He wanted to see the screen more clearly,The boy was trying to remember the name of the clown character.,He was surprised and made nervous by the sound,He saw a spider on his computer screen.,0,59
5247,Why did the girl scream and cover her eyes?,2,uANIooMR9a0,The girl is trying to mock the game by pretending to be scared.,The girl was trying to scare the other players.,The girl screamed in reaction to the scary game.,The girl saw a spider on her computer screen.,0,59
5248,Why did the girl scream?,0,uANIooMR9a0,The girl was surprised and scared by the game.,The girl screamed because she was terrified of the clown character.,The girl screamed because she saw a spider on her computer screen.,The girl was happy to play the game.,0,59
5249,Does the man seem unsure of what he is talking about,1,ubH-d0KJUJE,The man is teaching Kristen how to drive a truck.,"No, as he explains the process concisely",The man is explaining the process of driving a manual transmission car by moving his foot out.,"Yes, as he scratches his chin as he explains the process",0,60
5250,Are the kids excited?,1,ucYhn366lts,The family is on a picnic.,Yes the kids seem happy and enthusiastic to give the donut to their father.,Are the kids excited to go to their father's office.,The family is delivering a cake to Jeremy.,0,59
5251,How do the children feel?,0,ucYhn366lts,They are very excited about their surprise,The children are fighting over the snacks.,They are happy at thee outing,The children are feeling indifferent about the surprise.,0,59
5252,How do the kids feel about giving their father a doughnut?,1,ucYhn366lts,The kids are disappointed they have to give their father a doughnut.,The kids can't wait to give their father a doughnut.,The kids want to give their father the doughnut.,The kids are jealous that their father gets to eat the doughnut.,0,59
5253,How do the kids feel when their dad offers them a piece of the doughnut?,3,ucYhn366lts,The kids are afraid of the doughnut.,The kids are annoyed that their dad is eating the doughnut.,The kids care about getting some of their dad's doughnut.,The kids are elated to get some of their dad's doughnut.,0,59
5254,How do the kids react when they give the donut to their father?,0,ucYhn366lts,The kids are happy to give their father the doughnut.,The kids are disappointed that the donut is not for them.,The family is angry at Jeremy for not bringing snacks to them.,They are very excited.,0,59
5255,How does the man react to the donut he was given?,2,ucYhn366lts,The man is allergic to donuts and has an adverse reaction.,The man likes the donut.,The man appears to like it and eats it happily.,The man is on a diet and refuses to eat the donut.,0,59
5256,Is the woman proud of having wet wipes?,0,ucYhn366lts,Yes the woman feels prepared because she has them.,Is the woman proud of having wet wipes.,The family is discussing their favorite type of sandwich.,The family is discussing the weather outside.,0,59
5257,Is the youngest girl able to recognize where they are headed?,0,ucYhn366lts,The youngest girl does recognize where they are going.,The youngest girl is scared that she doesn't know where they are going.,The youngest girl is too busy playing with her toys to notice where they are going.,The family is lost and can't find their way.,0,59
5258,What best characterizes the woman's emotions throughout the clip?,3,ucYhn366lts,The woman is annoyed with the man's behavior.,The woman has concerns about her family's behavior in the video.,"Overall, the woman is excited that she is going there with her children.","Overall, the woman is happy to see the man.",0,59
5259,What is the man's reaction to the children showing up?,1,ucYhn366lts,The man is agitated that they have appeared.,The man is both surprised and elated to see them.,The man is excited about the snacks the family brought.,The man is confused and annoyed by the children's arrival.,0,59
5260,What is the overall mood of the scene?,0,ucYhn366lts,The mood is very delightful,He thinks football is a team-based sport.,The scene is chaotic and messy.,The mood of the scene is serious.,0,59
5261,Why are the children excited?,0,ucYhn366lts,the children are excited to see their father and give him a gift.,The children are excited to see their father's office.,The children are excited because they get to eat snacks.,The children are excited that they will be doing something worthwhile with their time.,0,59
5262,Why do the children talk over each other?,0,ucYhn366lts,They all want to express themselves for attention,They disagree about something and want to make their opinion heard,The children are fighting over the donut.,The children are trying to impress their father.,0,59
5263,Why does the woman's voice change when she talks to her daughter?,3,ucYhn366lts,"She is happy with her daughter, but not the audience",The woman is secretly plotting to steal the donut from her husband.,The woman is a spy working for a rival company.,She speaks in a more child-like voice when talking to her daughter,0,59
5264,How does the man on the right feel?,3,uivjORoSW0k,He feels irritated that the man on the left is trying to copy his sense of fashion.,He feels overwhelmed by the amount of work he has to do.,The man on the right feels ridiculed.,Relaxed.,0,59
5265,What does the man on the right think of the man on the left?,2,uivjORoSW0k,He thinks he is funny.,The man on the right is critical of the man on the left.,He thinks he is funny.,He thinks he is boring.,0,59
5266,Why does the audience applaud?,0,uivjORoSW0k,They are having a good time.,The audience is applauding to emphasize their point.,The audience stands up and starts to boo at the blonde man's terrible performance.,They are applauding because they want to leave.,0,59
5267,Why does the man with the glasses laugh at 0:16?,0,uivjORoSW0k,The man's impression is good.,He thinks the other man looks funny.,He finds the joke funny.,The man thought it was funny.,0,59
5268,Why does the man with the glasses point at the other man at 0:25?,2,uivjORoSW0k,He uses his finger to make a gesture towards the other man.,He wants to show that he is taller than the other man.,He wants to show that he is talking to the other man.,He wants to poke the other man.,0,59
5269,How is the man in the cowboy hat reacting?,2,urYGhhMOToU,The man was amused.,The man is singing a song.,He is offended,The man in the cowboy hat is happy.,0,58
5270,Why did the man in the hat nod?,1,urYGhhMOToU,He nodded in agreement with the man talking about his country music.,He is showing that he understands the question,He nodded because he was bored.,He was interested in the other man.,0,58
5271,Why did the man raise his voice?,3,urYGhhMOToU,He is trying to impress the people he is with.,He was angry at the puppet.,He wanted to tell the other man something,He is defensive,0,58
5272,Why does the black man talk about this situation?,1,urYGhhMOToU,He is sending a message.,He is recalling the story.,The man in the cowboy hat talks about his love for horses.,The man in the trooper hat talks about his contributions to society.,0,58
5273,Why does the man in the cowboy hat react that way?,3,urYGhhMOToU,He is excited about the situation.,The man in the cowboy hat is skeptical about the election process.,The man in the cowboy hat is talking about his love for his dog.,He believes that he is unjustified,0,58
5274,Are the two women with short hair interested in the people in the TV?,0,utkUkvYq-zM,"Yes, given how they listen to them.",Jessica Menkhausen and her husband are curious about the people on TV.,Jessica Menkhausen is very interested in the people on TV.,"Yes, they are very focused on them and their issues",0,57
5275,How can the viewer tell the couple is really excited about their procedure?,0,utkUkvYq-zM,They are smiling very widely.,The couple is jumping up and down with joy.,The couple is excited because they are going to be on TV.,By how the hosts talk about it.,0,57
5276,How do the hosts ask questions to the couple?,1,utkUkvYq-zM,They ask them many irrelevant questions.,They ask them question after question like an interview style.,The hosts ask the couple about their favorite food.,They tell the reasoning behind each question.,0,57
5277,How does the man feel about being interviewed?,1,utkUkvYq-zM,He is uncomfortable and avoids eye contact during the interview.,"He is excited. Even though he is quiet, he is smiling the whole interview and is blushing a little.",He is really excited. He says a single word during the interview.,The man is stoic and serious during the interview.,0,57
5278,How does the viewer know the man feel exactly the same way the woman is feeling?,3,utkUkvYq-zM,The man is nodding in agreement.,The man is a doctor.,From his verbal communication.,By most of his facial expressions.,0,57
5279,How does the woman in the TV feel?,3,utkUkvYq-zM,The woman is nervous about the IVF treatment.,She is very interested.,The couple is arguing about the cost of the IVF treatment.,She is very excited,0,57
5280,"Is the couple on the TV screen happy? If so, why?",0,utkUkvYq-zM,"Yes, because they are having a baby after what seems to have been a tough journey.","No, they just started fighting with each other.",They are discussing their finances.,The couple is arguing about the color of the baby's room.,0,57
5281,Why are the two women at the desk excited?,3,utkUkvYq-zM,Because they just figured out a puzzle.,The two women at the desk are excited about their upcoming vacation.,The two women at the desk are excited about a new restaurant opening nearby.,Because they are excited for the successful IVF procedure the pregnant woman went through.,0,57
5282,How does the man in the brown shirt feel towards the initial comments made by the man in the red shirt around :02?,1,v9LWNFTA2YQ,made by the man in the red shirt is not desirable.,The man in the brown shirt feels taken aback by the initial comments made by the man in the red shirt.,The man in the grey shirt is distracted by the fish in the bedroom.,The man in the brown shirt thinks the comments are inappropriate.,0,60
5283,How does the woman feel about the present that the man in the red shirt brought her?,1,v9LWNFTA2YQ,The woman feels really appreciative towards the gift the man in the red shirt gave to her,The woman feels indifferent about the present that the man in the red shirt brought for her because she just continues to lay in bed.,The woman is uninterested in the present that the man in the red shirt brought her.,The woman is annoyed with the present that the man in the red shirt brought her.,0,60
5284,Is the woman aware of the situation?,0,v9LWNFTA2YQ,"Yes, she's aware because she follows the man in red's movements with her eyes and she sits up to speak to him.","No, she's not aware of the situation because she's lying down on the bed",She's not aware because she's too busy playing the guitar.,"She shows no emotion whatsoever, suggesting she is remaining neutral.",0,60
5285,What is the relationship between the man in red and the woman?,1,v9LWNFTA2YQ,The man in red and the woman have a professional relationship.,The man in red and the woman are close since the man in red is comfortable to discuss personal topics with the woman.,The man in red is a friend of the woman who's trying to help the woman,The man in red and the woman are strangers.,0,60
5286,Who is in control of the situation?,2,v9LWNFTA2YQ,The man in the red shirt is intimidated by her commanding presence.,she poses the questions to the man in red.,The man in red is in control of the situation because both the woman and the other man listens to him.,The man in the red shirt is more assertive because he takes charge of the conversation.,0,60
5287,Why does the man in the red shirt look down when the woman asks if he has ever been in love?,1,v9LWNFTA2YQ,The man in the red shirt is extremely frustrated about the question he is asked.,The man in the red shirt is tasked with answering a hard question and contemplates his answer.,He is nervous and unable to answer the question successfully.,He is thinking hard about how to answer the question.,0,60
5288,"During the video, the woman with glasses mentions her service dog. Why do the others think that the woman with glasses and her service dog have a good relationship?",0,vE0R-Gw_GEA,The service dog knows when the woman with glasses feels overwhelmed and brings her out of the situation.,They believe that the woman with glasses and her service dog have a good relationship because of research on coping with sensory overload.,The woman with glasses doesn't like her service dog.,glasses feels more comfortable when she pets the service dog.,0,59
5289,How does the woman with glasses react when she touches velvet?,3,vE0R-Gw_GEA,The woman talks about her love for velvet and how it soothes her.,The woman is allergic to velvet.,She doesn't react to it much as she does when she touches other material.,She starts to shake because she feels that its texture is wrong.,0,59
5290,What does the girl think about her service dog?,2,vE0R-Gw_GEA,She finds her service dog annoying at times.,She thinks her service dog is a burden.,Her dog is very forceful at times.,"The girl is appreciative of the service dog, but wants a different one.",0,59
5291,Why is the girl sensitive to sounds?,1,vE0R-Gw_GEA,She is sensitive to sounds because she has a fear of heights.,She is sensitive to a lot of things.,The girl is sensitive to sounds because she is a girl.,The girl is sensitive to sounds because she has a history of ear infections.,0,59
5292,Why is the man in black surprised?,0,vE0R-Gw_GEA,The man in black is surprised because he learned something he didn't expect.,The woman is skeptical about the man's story.,doesn't believe her and assumes she must be hiding something.,The man in black is surprised because he saw a spider on the couch.,0,59
5293,"At 0:19, why does the girl on the left chuckle?",2,vLS1o1F6KqE,The girl on the left laughs because of a joke made about the chips.,The girl on the left laughs because she is having a good time.,She finds the taste and texture of the chips interesting,She chuckles because she is amused by the other girl.,0,57
5294,"At 0:42, what are the emotions of the girl on the right?",2,vLS1o1F6KqE,"At 0:42, the girl on the right feels happy.",She is angry at her friend.,She is happy,She is feeling sick.,0,57
5295,How does the younger girl communicate her opinion on the potato chips?,0,vLS1o1F6KqE,The younger girl states that she likes the chips,The younger girl wants to downplay her dislike for the chips.,The younger girl communicates her opinion by eating more chips,The younger girl is hiding her lack of interest in the chips.,0,57
5296,How does the younger girl follow the older girl's behaviors?,3,vLS1o1F6KqE,The younger girl refuses to eat the chips.,The younger girl starts dancing on the couch.,She verbally says she will do as the older sister does.,The younger girl rates the chips like the older girl,0,57
5297,Who appears to be more dominant in the relationship?,2,vLS1o1F6KqE,The girls are discussing their favorite TV show.,The girl on the right is more submissive because she follows the lead of the other girl.,The girl on the left is more dominant because the other girl copies her,The girl on the right is more dominant because she moves around more,0,57
5298,"How did the woman in orange feel when the driver screamed ""oh my god""?",2,vT73BECdSjQ,The woman in orange is feeling frustrated because she is stuck in traffic.,She felt excited as she knew she must've received good news,She felt startled as she hadn't seen anything happen,The woman in orange is laughing because of a joke she just heard.,0,60
5299,How does the driver feel seeing the squirrel outside the car,2,vT73BECdSjQ,She feels excited about the squirrel outside the car.,The driver enjoys seeing the squirrel's vibrant fur.,She feels scared at the thought of harming it,She feels annoyed by the squirrel.,0,60
5300,Why does the woman in orange rest her arms on the car,3,vT73BECdSjQ,The woman in orange is feeling frustrated because she is stuck in traffic.,She wants to cool off as her nerves make her sweat,The woman in orange is laughing because of a joke she just heard.,She wants to feel supported through the bumpiness,0,60
5301,How does the man explain the situation?,2,vTLkSpY_aYg,"Yes, he maintains his composure through the scenes.","No, he is vague in his answers.",He is explaining the situation step-by-step to let his audience know what to expect.,He is vague and doesn't explain much.,0,60
5302,Is the blonde man friends with the woman?,3,vTLkSpY_aYg,"The blonde man and the woman are friends, but she often gets emotional around him.",The blonde man is actually the woman's brother.,"No, because he made her cry.","Presumably, because they live together and he is comfortable enough to prank her and because she was not extremely mad at him afterwards",0,60
5303,What does the smile the man makes before turning off the camera show?,0,vTLkSpY_aYg,It builds suspense for what the viewers are about to see.,The smile indicates that he is thinking about something good.,The man and the woman are having fun together.,The man is happy because he just won the lottery.,0,60
5304,Why does the girl wipe her face?,2,vTLkSpY_aYg,She wipes her face to avoid getting dirt on her glasses.,The girl wiped her face because she was sweating.,Because she is scared and overwhelmed by what happened,The girl feels uncomfortable when the man with the hat is around.,0,60
5305,Why is the blonde man whispering?,0,vTLkSpY_aYg,He is trying to be clandestine,He is trying to avoid being heard by the dog.,He is trying to remember a secret code.,He is in a library,0,60
5306,Does the man standing with tools on his shoulder care about the situation?,0,vTTzWRdAN4M,He doesn't care about what is going on because he doesn't have any reactions.,He does care but he cannot move because the man in the glasses is threatening him.,He is more interested in the starry sky than in the situation.,He is concerned about what is happening.,0,60
5307,How does the man with the beard and the light colored jacket react when the woman is hit by the rock?,2,vTTzWRdAN4M,The man is trying to find a good spot to stargaze.,He is annoyed that she was standing where she shouldn't have been.,He feels bad for her and makes sure she is ok.,The man is surprised when the woman is hit by the rock.,0,60
5308,How does the woman with the camera look at the man in glasses when he is explaining where they are?,2,vTTzWRdAN4M,The woman is impressed by the man's knowledge of the desert.,"She looks at him with interest, because she wants to be there.",She looks at him with admiration and inspiration.,The woman is bored with the man's explanation of the topic.,0,60
5309,Is the man wearing glasses confident about his predictions about where the skull is buried,1,vTTzWRdAN4M,The man on the left seems confident in his predictions.,"Yes, he sounds confident as he explained the logic behind what he was doing","Is the man confident about his predictions about where the skull is buried, which is why",He seems unsure about his predictions.,0,60
5310,Who has the most power in this situation?,1,vTTzWRdAN4M,The man with the binoculars is more powerful in this conversation because he is the most observant.,The man with the scarf has the most power in this situation because everyone's attention is on him and the other man follows his orders.,The woman with the camera has the most power in the situation as she is able to record,The man with the hat has the most power in this situation because he is the most experienced.,0,60
5311,How does the red haired woman feel when she is told she cannot leave yet?,3,vZAQjsoMbKY,The red haired woman feels excited when she is told she cannot leave yet because the conversation,The red haired woman is annoyed because she is hungry.,The red haired woman is excited to leave and go home.,The red haired woman feels awkward when she is told she cannot leave yet because the conversation doesn't concern her,0,60
5312,How does the woman in pink feel about the men speaking to her?,0,vZAQjsoMbKY,The woman in pink feels flattered by the compliments the men are giving to her,The woman in pink is annoyed by the men's compliments.,The woman in pink feels disgusted by the compliments the men are giving to her,The woman in pink is indifferent to the men's compliments.,0,60
5313,How does the woman with the pony tail feel when the man with the untied tie says he went into a back room?,2,vZAQjsoMbKY,"No, she is angry, she uses the word ""violation""... she is not frustrated.",The woman with the pony tail feels hesitant and slightly uneasy when the man says he went into.,The woman with the pony tail feels frustrated and slightly violated when the man says he went into a back room,The woman with the ponytail feels relieved that the man with the untied tie went into a back room.,0,60
5314,What is the attitude of the men towards the women?,0,vZAQjsoMbKY,"The men have a starstuck attitude towards the women, indicated by their many questions",The men are dismissive of the women's achievements.,The men are discussing their favorite sports teams.,"The men have an indifferent attitude towards the women, indicated by their many rejections",0,60
5315,Why does the woman with the pony tail squint her eyes at 0:18?,0,vZAQjsoMbKY,She squints her eyes to show that she is feeling inquisitive with her question,The woman with the ponytail is squinting because she has something in her eye.,The woman with the ponytail is squinting because she is confused.,She squints her eyes to show that she is feeling embarrassed by her question,0,60
5316,How does Lacinda present herself?,2,vaHpVjqCnNE,Lacinda presents herself as someone who is very indecisive.,Lacinda presents herself as someone who is very aggressive.,She presents herself as someone who is not open,She's involved,0,47
5317,How does the teacher present herself?,3,vaHpVjqCnNE,The teacher presents herself in a casual manner.,She's interested and interested.,The teacher presents herself in a friendly manner.,The teacher presents herself with authority,0,47
5318,How does the teacher react to Lacinda?,1,vaHpVjqCnNE,She's paying attention,The teacher considers what Lacinda says,The teacher scolds Lacinda for her opinion.,The teacher interrupts Lacinda and changes the subject.,0,47
5319,How does the woman encourage the students?,3,vaHpVjqCnNE,She cheers for them.,The woman supports the students with positive affirmations.,She gives the students candy to encourage them.,She asks probing questions that encourage students to go more in depth with their answers.,0,47
5320,How does the woman on the left react to being prompted for a new explanation?,3,vaHpVjqCnNE,She starts laughing uncontrollably.,The woman on the left changes subject.,She looks confused and changes the subject.,The woman on the left seeks to clarify her point.,0,47
5321,How does the woman push the student to give a better answer?,1,vaHpVjqCnNE,She tells exactly what can be improved from the previous answer.,She tries to draw out more details from the student with questions,She interrupts the student and gives her own answer.,"Yes, as she provides more examples to support her argument.",0,47
